Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
Jeremy Hall,2013,D-M,TOR,31,26,2280,1,1,0.04,0.04,0,0,1,0,1,0,80000.0,90000.0,2
Jeremy Hall,2014,D-M,TOR,3,2,185,0,0,0.0,0.0,0,0,0,0,0,0,105000.0,115000.0,0
Jermain Defoe,2014,F,TOR,19,17,1529,11,2,0.65,0.12,5,0,8,3,0,2,6000000.0,6180000.0,13
Jermaine Jones,2016,M,COL,13,11,1033,3,3,0.37,0.54,1,1,3,0,1,2,1200000.0,1300000.0,6
Jermaine Taylor,2011,D,HOU,15,11,1066,0,1,0.0,0.1,0,0,0,0,0,1,115000.0,125000.0,1
Jermaine Taylor,2012,D,HOU,31,30,2659,1,1,0.04,0.04,1,0,1,0,0,1,120750.0,130750.0,2
Jermaine Taylor,2013,D,HOU,26,26,2142,0,1,0.0,0.04,0,1,0,0,1,0,320000.0,339000.0,1
Jermaine Taylor,2014,D,HOU,24,23,2012,0,0,0.0,0.0,0,0,0,0,0,0,185000.0,194500.0,0
Jermaine Taylor,2015,D,HOU,16,16,1427,0,1,0.0,0.06,0,0,0,0,1,0,203500.0,213000.0,1
Jermaine Taylor,2016,D,POR,23,21,1841,0,3,0.0,0.15,0,1,0,0,1,2,150000.0,150000.0,3
Jerson Monteiro,2007,F,CHI,5,1,154,1,0,0.58,0.0,0,0,0,1,0,0,35400.0,35400.0,1
Jesse Marsch,2007,M,CHV,30,30,2605,2,4,0.07,0.15,2,1,2,0,2,2,200000.0,218750.0,6
Jesse Marsch,2008,M,CHV,27,26,2318,4,0,0.17,0.0,0,0,2,2,0,0,300000.0,318750.0,4
Jesse Marsch,2009,M,CHV,23,21,1853,0,1,0.0,0.05,0,1,0,0,1,0,330000.0,348750.0,1
Jesus Ferreira,2017,F,DAL,1,0,19,1,0,4.74,0.0,0,0,1,0,0,0,53000.0,53000.0,1
Jhon Kennedy Hurtado,2013,D,SEA,30,28,2513,0,0,0.0,0.0,0,0,0,0,0,0,380000.0,380000.0,0
Jim Curtin,2007,D,CHI,11,10,856,0,0,0.0,0.0,0,0,0,0,0,0,241500.0,241500.0,0
Jim Curtin,2008,D,CHV,19,16,1427,1,0,0.07,0.0,0,0,1,0,0,0,208008.0,208008.0,1
Jim Curtin,2009,D,CHV,3,2,164,0,0,0.0,0.0,0,0,0,0,0,0,109204.2,109204.2,0
Jimmy Ockford,2014,D,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,73008.0,73008.0,0
Jimmy Ockford,2015,D,SEA,1,1,90,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120000.0,0
Joao Meira,2016,D-M,CHI,28,26,2284,0,1,0.0,0.04,0,0,0,0,1,0,110000.0,126500.0,1
Joao Meira,2017,D-M,CHI,31,28,2482,0,2,0.0,0.07,0,1,0,0,2,0,300000.0,330000.0,2
Joao Plata,2012,F,TOR,10,7,638,0,0,0.0,0.0,0,0,0,0,0,0,50000.0,50000.0,0
Joao Plata,2013,F,RSL,31,19,1677,4,9,0.22,3.25,2,3,2,2,6,3,120000.0,120000.0,13
Joao Plata,2014,F,RSL,28,26,2165,13,6,0.59,0.27,4,2,8,5,4,2,140000.0,140000.0,19
Joao Plata,2015,F,RSL,19,17,1431,4,4,0.25,0.25,1,1,2,2,2,2,150000.0,150000.0,8
Joao Plata,2016,F,RSL,31,29,2568,10,12,1.33,0.44,1,3,3,7,8,4,350000.0,350000.0,22
Joao Plata,2017,F,RSL,29,27,2318,7,5,0.27,0.19,2,1,3,4,4,1,350000.04,400000.04,12
Joe Tait,2011,D,PHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,84000.0,84000.0,0
Joel Lindpere,2013,M,CHI,25,17,1444,2,8,0.12,0.5,1,1,2,0,3,5,180000.0,205000.0,10
Joevin Jones,2016,D-M,SEA,39,35,3110,2,6,0.07,0.59,0,2,1,1,3,3,140000.0,152333.34,8
Joevin Jones,2017,D-M,SEA,35,33,2845,1,13,0.04,0.8600000000000001,0,2,0,1,9,4,180000.0,192333.34,14
Joey Calistri,2016,M,CHI,14,2,348,1,1,0.26,0.26,0,0,0,1,0,1,51500.0,51500.0,2
Joey Calistri,2017,M,CHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,108150.0,108150.0,0
Johan Kappelhof,2016,D,CHI,33,31,2789,0,0,0.0,0.0,0,0,0,0,0,0,480000.0,520000.0,0
Johan Kappelhof,2017,D,CHI,34,34,2971,0,4,0.0,0.12,0,1,0,0,4,0,1060000.0,1140000.0,4
Johan Venegas,2015,M,MTL,14,9,798,2,0,1.85,0.0,2,0,2,0,0,0,240000.0,265000.0,2
Johan Venegas,2016,M,MTL,25,7,791,1,2,0.13,0.96,0,1,1,0,1,1,400000.0,425000.0,3
John Cunliffe,2007,F,CHV,17,5,543,3,1,0.55,0.18,0,0,0,3,1,0,60000.0,90000.0,4
John DiRaimondo,2007,M,COL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12900.0,12900.0,0
John DiRaimondo,2008,M,COL,11,8,714,1,0,0.13,0.0,0,0,0,1,0,0,17700.0,17700.0,1
John Goossens,2016,M,CHI,24,15,1288,3,4,0.21,0.28,1,0,2,1,2,2,200000.0,200000.0,7
John Goossens,2017,M,CHI,1,1,89,0,0,0.0,0.0,0,0,0,0,0,0,460000.0,466666.66,0
John Neeskens,2014,D,COL,5,3,273,1,0,0.33,0.0,0,0,0,1,0,0,42504.0,42504.0,1
